Order,CandidatesA,CandidatesB,Pairs,Classes,Matching,Total
32,7588,106800,5504,1255.4s,237.1s,1492.6s
26,289,3444,204,10.6s,0.5s,11.2s
26,289,3444,204,0s,0.1s,0.2s
26,289,3444,204,0s,0.2s,0.2s
26,289,3444,204,0s,0.1s,0.2s
16,14,76,36,0.6s,0.4s,1.1s
16,14,76,0,0.3s,0.7s,1s
16,14,76,0,2.6s,1.2s,3.8s
16,14,76,0,0.3s,1.3s,1.7s
16,14,76,0,4.2s,0.3s,4.5s
16,14,76,0,12.4s,12.4s,24.9s
16,14,76,0,0s,0s,0s
16,14,76,0,1.3s,12.4s,13.7s
16,14,76,18,0.3s,0s,0.3s
16,14,76,18,0.3s,0s,0.4s
16,14,76,0,0.3s,0s,0.4s
32,7588,106800,5504,864.6s,544.9s,1409.5s
32,0,0,0,0s,0.6s,0.6s
26,289,3444,204,12.9s,0.6s,13.5s
26,289,3444,204,0s,0s,0s
20,70,529,112,0.9s,0s,0.9s
20,70,529,112,0s,0s,0s
16,14,76,36,0.1s,0s,0.2s
16,0,0,0,0s,0s,0.1s
16,14,76,36,0s,0s,0s
20,70,529,112,18.1s,0s,18.1s
20,70,529,112,0s,0s,0s
16,14,76,36,0.4s,0s,0.5s
16,14,76,36,20.3s,0s,20.4s
20,70,529,112,22.2s,0.1s,22.3s
16,14,76,36,0.4s,0s,0.5s
16,0,0,0,0s,0s,0s
26,289,3444,204,3.5s,0.6s,4.1s
20,70,529,112,0.1s,0s,0.1s
16,14,76,36,0.1s,0s,0.2s
20,70,529,112,17.9s,0s,18s
16,14,76,36,0.4s,0s,0.5s
16,14,76,36,4.2s,0s,4.2s
30,0,0,0,0s,0.3s,0.3s
30,0,0,0,0s,0.3s,0.3s
30,0,0,0,0.2s,0.1s,0.4s
30,0,0,0,0s,0.2s,0.2s
30,0,0,0,0s,0.4s,0.4s
30,0,0,0,0s,0.3s,0.4s
20,70,529,112,16.2s,0s,16.3s
16,14,76,36,0.3s,0s,0.4s
16,0,0,0,0s,0s,0s
16,0,0,0,0s,0s,0.1s
20,108,655,112,30.4s,0s,30.5s
8,3,4,3,0.1s,0s,0.1s
8,3,4,3,0.1s,0s,0.2s
8,3,4,3,0s,0s,0.1s
8,3,4,3,0s,0s,0.1s
8,3,4,3,0s,0s,0.1s
26,289,3444,204,1448.1s,0.6s,1448.7s
20,70,529,112,16.2s,0s,16.2s
10,1,4,2,0s,0s,0.1s
18,22,63,0,0.6s,0s,0.6s
16,14,76,36,0.4s,0s,0.5s
20,70,529,112,17.6s,0s,17.7s
26,978,10892,204,16114.8s,5.7s,16120.6s
20,108,655,112,29.1s,0s,29.1s
18,54,226,0,3.3s,0s,3.3s
16,23,128,36,0.7s,0s,0.7s
10,4,6,2,0s,0s,0s
8,5,4,4,0s,0s,0s
4,1,1,1,0s,0s,0s
