Order Compress CandidatesA CandidatesB Pairs Candidates UncompressedPairs Uncompression Total
   16        1          14          41    21         0s                 0            0s    0s
   26        1         289        1722   102        12s                 0            0s   12s
   26        1         289        1722   102        12s                 0            0s   12s
   26        1         289        1722   102        11s                 0            0s   11s
   26        1         289        1722   102        12s                 0            0s   12s
   26        1         289        1722   102        11s                 0            0s   11s
   26        1         289        1722   102        12s                 0            0s   12s
   16        1          14          41    21         0s                 0            0s    0s
   16        1          14          41    21         0s                 0            0s    0s
   16        1          14          41    21         0s                 0            0s    0s
   16        1          14          41    21         0s                 0            0s    0s
   16        1          14          41    21         0s                 0            0s    0s
   26        1         289        1722   102        11s                 0            0s   11s
   16        1          14          41    21         0s                 0            0s    0s
   16        1          14          41    21         0s                 0            0s    0s
   26        1         289        1722   102        11s                 0            0s   11s
   16        1          14          41    21         0s                 0            0s    0s
   16        1          14          41    21         0s                 0            0s    0s
   34        1        9735       77880   732      1618s                 0            0s 1618s
   32        1        7588       53408  2752       687s                 0            0s  687s
   26        1         289        1722   102        12s                 0            0s   12s
   32        4          85         120   142         0s            639488            8s    8s
   40        2       31510      112499 30203       354s            135992           96s  450s
   34        2        2053       20500   797        45s              2964            1s   46s
   32        2        1234        3523  2330         7s             37312            4s   11s
   26        2          95         905    62         1s               408            0s    1s
   16        2          12          15    19         0s               256            0s    0s
